codigo mun	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab	QtProfissionais/100000Hab	QtMédicos/100000Hab	QtEnfermeiros/100000Hab	QtSUS/100000Hab	QtNãoSUS/100000Hab
2906907	101	40	62	101	0	101	48	53	101	0	101	44	57	101	0	114	48	66	114	0	128	57	70	123	4	119	53	66	119	0	141	79	62	141	0	106	26	79	106	0	136	48	88	136	0
2907004	84	42	42	84	0	84	31	52	84	0	157	73	84	157	0	168	115	52	168	0	136	73	63	136	0	147	84	63	147	0	73	21	52	73	0	115	73	42	115	0	105	63	42	105	0
2907103	90	40	50	90	0	76	37	40	76	0	83	43	40	83	0	90	46	43	90	0	76	33	43	76	0	83	27	56	80	3	149	93	56	143	7	110	56	53	100	10	116	60	56	106	10
2907202	46	29	18	46	0	52	29	23	52	0	44	23	20	44	0	56	37	19	56	0	61	44	18	61	0	69	49	20	68	1	26	7	19	25	1	86	50	35	84	1	86	49	37	84	1
2907301	169	92	77	154	15	158	77	81	151	7	195	92	103	184	11	176	70	106	165	11	209	92	117	198	11	198	77	121	187	11	132	48	84	121	11	191	92	99	180	11	173	66	106	165	7
2907400	0	0	0	0	0	55	0	55	55	0	82	0	82	82	0	82	27	55	82	0	109	27	82	109	0	136	55	82	136	0	245	136	109	245	0	136	55	82	136	0	136	27	109	136	0
2907509	120	89	32	97	23	117	80	37	92	25	131	90	41	97	34	124	85	39	92	32	138	87	51	101	37	156	74	81	105	51	129	50	80	78	51	177	90	87	103	74	174	94	80	106	67
2907558	61	20	41	61	0	82	31	51	82	0	92	31	61	92	0	92	41	51	92	0	92	31	61	92	0	92	41	51	92	0	195	102	92	195	0	195	72	123	195	0	164	41	123	164	0
2907608	67	22	45	67	0	95	28	67	95	0	95	28	67	95	0	134	56	78	134	0	134	61	72	134	0	173	72	100	173	0	234	122	111	234	0	150	56	95	150	0	106	39	67	106	0
2907707	78	35	43	78	0	95	35	60	95	0	147	43	104	147	0	138	35	104	138	0	173	52	121	173	0	164	52	112	164	0	155	78	78	155	0	121	35	86	121	0	173	43	129	173	0
2907806	72	35	37	69	3	95	58	37	92	3	95	46	49	92	3	89	46	43	87	3	127	61	66	118	9	138	72	66	130	9	89	29	61	84	6	144	81	63	130	14	121	52	69	107	14
2907905	96	45	51	96	0	51	34	17	51	0	45	34	11	45	0	101	34	68	101	0	141	56	85	141	0	113	45	68	113	0	135	56	79	135	0	130	45	85	130	0	130	45	85	130	0
2908002	184	84	100	184	0	173	84	89	173	0	210	89	121	205	5	226	105	121	221	5	237	121	116	231	5	226	110	116	221	5	310	195	116	310	0	200	84	116	189	11	195	74	121	184	11
2908101	77	41	36	77	0	72	36	36	72	0	77	31	46	77	0	87	36	51	87	0	113	46	67	113	0	128	51	77	128	0	282	205	77	282	0	144	72	72	144	0	133	62	72	133	0
2908200	83	35	48	78	4	61	22	39	56	4	87	35	52	83	4	100	43	56	96	4	91	35	56	83	9	96	39	56	87	9	135	69	65	117	17	169	83	87	161	9	148	65	83	139	9
2908309	132	82	49	121	11	159	93	66	143	16	181	110	71	170	11	170	71	99	170	0	143	44	99	143	0	154	60	93	154	0	181	93	88	181	0	143	60	82	143	0	176	82	93	176	0
2908408	98	67	31	91	7	94	63	31	85	9	92	60	32	83	9	105	59	47	98	7	119	72	47	107	12	129	73	56	98	31	95	32	63	66	29	148	79	69	111	37	161	86	75	116	45
2908507	115	86	30	106	9	80	41	38	74	6	154	92	62	130	24	154	115	38	130	24	180	130	50	162	18	171	106	65	159	12	142	56	86	112	30	248	154	94	218	30	236	151	86	198	38
