Posição	Código IBGE	Município	População
746º	3110004	Caeté	44377
747º	1508159	Uruará	44258
748º	2512507	Queimadas	44214
749º	2615409	Toritama	44189
750º	3515186	Espírito Santo do Pinhal	44170
751º	4207304	Imbituba	44076
752º	2923001	Nova Viçosa	44052
753º	2412203	São José de Mipibu	43995
754º	3541307	Presidente Epitácio	43897
755º	5106752	Pontes e Lacerda	43832
756º	3551504	Serrana	43790
757º	2211100	União	43761
758º	2308500	Mombaça	43735
759º	2933208	Vera Cruz	43640
760º	1508407	Xinguara	43530
761º	2312205	Santa Quitéria	43360
762º	3534302	Orlândia	43306
763º	2910503	Entre Rios	43223
764º	1200500	Sena Madureira	43139
765º	2600500	Águas Belas	43087
766º	4304408	Canela	43062
767º	3303708	Paraíba do Sul	42922
768º	3525102	Jardinópolis	42904
769º	2300754	Amontada	42901
770º	4206504	Guaramirim	42872
771º	2310506	Pedra Branca	42841
772º	4218202	Timbó	42801
773º	3522703	Itápolis	42747
774º	2926004	Remanso	42672
775º	5106224	Nova Mutum	42607
776º	4104006	Campina Grande do Sul	42547
777º	2601409	Barreiros	42438
778º	3302601	Mangaratiba	42415
779º	2604205	Catende	42343
780º	4317608	Santo Antônio da Patrulha	42333
781º	3159605	Santa Rita do Sapucaí	42324
782º	2109601	Rosário	42314
783º	3556404	Vargem Grande do Sul	42310
784º	2104057	Estreito	42110
785º	2922003	Mucuri	42072
786º	4215000	Rio Negrinho	42029
787º	3301306	Casimiro de Abreu	41999
788º	2803005	Itabaianinha	41961
789º	3172004	Visconde do Rio Branco	41932
790º	3139003	Machado	41920
791º	3145604	Oliveira	41907
792º	2109809	Santa Helena	41891
793º	2930204	Sento Sé	41891
794º	3101706	Almenara	41794
795º	3144300	Nanuque	41787
796º	4313904	Panambi	41781
797º	2928109	Santa Maria da Vitória	41769
798º	2927002	Rio Real	41767
799º	5006309	Paranaíba	41755
800º	3157005	Salinas	41678
801º	2612604	Santa Maria da Boa Vista	41652
802º	2918100	Jeremoabo	41605
803º	2305803	Ipu	41576
804º	3303807	Paraty	41454
805º	3524105	Ituverava	41414
806º	2112308	Tuntum	41342
807º	1300607	Benjamin Constant	41329
808º	3304706	Santo Antônio de Pádua	41312
809º	2702900	Girau do Ponciano	41279
810º	2306553	Itarema	41230
811º	3304755	São Francisco de Itabapoana	41191
812º	5208806	Goianira	41169
813º	3130101	Igarapé	41127
